Exposure	R2	SE	Mean	Max_diff_bw	Abs_max_diff_bw	R2_diff	P_max_diff	N	Cohort	Ancestry	VariableType
HbA1c	0.07871347	0.01371721	32.31352293300001	2_3	0.013812959999999999	0.013812959999999999	0.6118692	6517	PMBB	EUR	Continuous
HbA1c	0.06980076	0.01278918	36.426783231	2_3	0.013812959999999999	0.013812959999999999	0.6118692	6517	PMBB	EUR	Continuous
HbA1c	0.08361372	0.01468707	39.425700831	2_3	0.013812959999999999	0.013812959999999999	0.6118692	6517	PMBB	EUR	Continuous
HbA1c	0.08226753	0.01492656	44.75555555100001	2_3	0.013812959999999999	0.013812959999999999	0.6118692	6517	PMBB	EUR	Continuous
HbA1c	0.07577390	0.01449062	65.439059637	2_3	0.013812959999999999	0.013812959999999999	0.6118692	6517	PMBB	EUR	Continuous
Age	0.09316547	0.007656842	32.61749	1_5	0.04169257	-0.04169257	0.001788612	26372	PMBB	EUR	Continuous
Age	0.08765170	0.007548312	50.55981	1_5	0.04169257	-0.04169257	0.001788612	26372	PMBB	EUR	Continuous
Age	0.07491868	0.006734743	60.18047	1_5	0.04169257	-0.04169257	0.001788612	26372	PMBB	EUR	Continuous
Age	0.06800105	0.006825740	67.57108	1_5	0.04169257	-0.04169257	0.001788612	26372	PMBB	EUR	Continuous
Age	0.05147290	0.005706819	78.10646	1_5	0.04169257	-0.04169257	0.001788612	26372	PMBB	EUR	Continuous
DBP	0.06177057	0.006025427	58.8857	1_5	0.02017861	0.02017861	0.1195831	26294	PMBB	EUR	Continuous
DBP	0.07866515	0.007352299	68.32877	1_5	0.02017861	0.02017861	0.1195831	26294	PMBB	EUR	Continuous
DBP	0.07591594	0.006896331	73.66381	1_5	0.02017861	0.02017861	0.1195831	26294	PMBB	EUR	Continuous
DBP	0.08207291	0.007532148	79.56551	1_5	0.02017861	0.02017861	0.1195831	26294	PMBB	EUR	Continuous
DBP	0.08194918	0.006952108	89.31869	1_5	0.02017861	0.02017861	0.1195831	26294	PMBB	EUR	Continuous
EverSmoker	0.07670385	0.004369274	0	1_2	0.004757629999999999	-0.004757629999999999	0.5994648	25707	PMBB	EUR	Binary
EverSmoker	0.07194622	0.004713469	1	1_2	0.004757629999999999	-0.004757629999999999	0.5994648	25707	PMBB	EUR	Binary
HDL	0.07348885	0.008888342	31.39747	1_4	0.024581399999999996	-0.024581399999999996	0.1461221	14422	PMBB	EUR	Continuous
HDL	0.07184940	0.009208282	41.49445	1_4	0.024581399999999996	-0.024581399999999996	0.1461221	14422	PMBB	EUR	Continuous
HDL	0.07293155	0.009637602	49.24177	1_4	0.024581399999999996	-0.024581399999999996	0.1461221	14422	PMBB	EUR	Continuous
HDL	0.04890745	0.008035030	58.56623	1_4	0.024581399999999996	-0.024581399999999996	0.1461221	14422	PMBB	EUR	Continuous
HDL	0.06048861	0.008780338	77.80915	1_4	0.024581399999999996	-0.024581399999999996	0.1461221	14422	PMBB	EUR	Continuous
LDL	0.06954585	0.009116795	52.02625	3_5	0.01784498999999999	-0.01784498999999999	0.3424197	14288	PMBB	EUR	Continuous
LDL	0.07102748	0.009322339	75.91371	3_5	0.01784498999999999	-0.01784498999999999	0.3424197	14288	PMBB	EUR	Continuous
LDL	0.08299390	0.010020562	93.20518	3_5	0.01784498999999999	-0.01784498999999999	0.3424197	14288	PMBB	EUR	Continuous
LDL	0.07078774	0.009480045	112.5058	3_5	0.01784498999999999	-0.01784498999999999	0.3424197	14288	PMBB	EUR	Continuous
LDL	0.06514891	0.008818046	149.6744	3_5	0.01784498999999999	-0.01784498999999999	0.3424197	14288	PMBB	EUR	Continuous
NeverVsCurrent	0.07670385	0.004309792	0	1_2	0.003015969999999993	0.003015969999999993	0.7437206	15767	PMBB	EUR	Binary
NeverVsCurrent	0.07971982	0.011298751	1	1_2	0.003015969999999993	0.003015969999999993	0.7437206	15767	PMBB	EUR	Binary
Sex	0.08052728	0.004770815	0	1_2	0.003777560000000013	-0.003777560000000013	0.6762832	26372	PMBB	EUR	Binary
Sex	0.07674972	0.004335728	1	1_2	0.003777560000000013	-0.003777560000000013	0.6762832	26372	PMBB	EUR	Binary
TC	0.07071203	0.009095768	116.9247	2_5	0.017075770000000004	-0.017075770000000004	0.3496162	14417	PMBB	EUR	Continuous
TC	0.08076218	0.009566618	149.0579	2_5	0.017075770000000004	-0.017075770000000004	0.3496162	14417	PMBB	EUR	Continuous
TC	0.07299636	0.009728964	170.414	2_5	0.017075770000000004	-0.017075770000000004	0.3496162	14417	PMBB	EUR	Continuous
TC	0.06853276	0.009413825	193.2497	2_5	0.017075770000000004	-0.017075770000000004	0.3496162	14417	PMBB	EUR	Continuous
TC	0.06368641	0.008712493	237.7191	2_5	0.017075770000000004	-0.017075770000000004	0.3496162	14417	PMBB	EUR	Continuous
TG	0.05963384	0.008240419	54.52239	1_3	0.0223311	0.0223311	0.2215723	15079	PMBB	EUR	Continuous
TG	0.07611208	0.009122843	80.40418	1_3	0.0223311	0.0223311	0.2215723	15079	PMBB	EUR	Continuous
TG	0.08196494	0.010090955	106.127	1_3	0.0223311	0.0223311	0.2215723	15079	PMBB	EUR	Continuous
TG	0.06620305	0.009091551	143.4009	1_3	0.0223311	0.0223311	0.2215723	15079	PMBB	EUR	Continuous
TG	0.07607642	0.008726345	265.3276	1_3	0.0223311	0.0223311	0.2215723	15079	PMBB	EUR	Continuous
Age	0.02869272	0.008593518	42.15932	3_4	0.006588440000000001	-0.006588440000000001	0.703356	7033	UKBB	AFR	Continuous
Age	0.02815129	0.008347908	46.29993	3_4	0.006588440000000001	-0.006588440000000001	0.703356	7033	UKBB	AFR	Continuous
